,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg,project_id
0,2008,Punggol,2-room,82000.0,107000.0,,,1
1,2008,Punggol,3-room,135000.0,211000.0,,,1
2,2008,Punggol,4-room,223000.0,327000.0,,,1
3,2008,Punggol,5-room,305000.0,428000.0,,,1
4,2008,Jurong West,3-room,142000.0,160000.0,,,2
5,2008,Jurong West,4-room,211000.0,253000.0,,,2
6,2008,Jurong West,5-room,229000.0,319000.0,,,2
7,2008,Bukit Panjang,2-room,82000.0,106000.0,,,3
8,2008,Bukit Panjang,3-room,138000.0,170000.0,,,3
9,2008,Bukit Panjang,4-room,211000.0,270000.0,,,3
10,2008,Woodlands,3-room,116000.0,164000.0,,,4
11,2008,Woodlands,4-room,184000.0,257000.0,,,4
12,2008,Woodlands,5-room,247000.0,296000.0,,,4
13,2008,Sengkang,2-room,73000.0,95000.0,,,5
14,2008,Sengkang,3-room,120000.0,162000.0,,,5
15,2008,Sengkang,4-room,190000.0,275000.0,,,5
16,2008,Sengkang,5-room,290000.0,367000.0,,,5
17,2009,Punggol,2-room,89000.0,114000.0,,,6
18,2009,Punggol,3-room,151000.0,188000.0,,,6
19,2009,Punggol,4-room,234000.0,322000.0,,,6
20,2009,Punggol,5-room,332000.0,409000.0,,,6
21,2009,Jurong West,2-room,86000.0,103000.0,,,7
22,2009,Jurong West,3-room,138000.0,173000.0,,,7
23,2009,Jurong West,4-room,223000.0,266000.0,,,7
24,2009,Choa Chu Kang,2-room,83000.0,104000.0,,,8
25,2009,Choa Chu Kang,3-room,128000.0,172000.0,,,8
26,2009,Choa Chu Kang,4-room,212000.0,275000.0,,,8
27,2009,Bukit Panjang,2-room,72000.0,94000.0,,,9
28,2009,Bukit Panjang,3-room,125000.0,157000.0,,,9
29,2009,Bukit Panjang,4-room,210000.0,250000.0,,,9
30,2009,Woodlands,3-room,141000.0,175000.0,,,10
31,2009,Woodlands,4-room,228000.0,288000.0,,,10
32,2009,Sengkang,2-room,74000.0,98000.0,,,11
33,2009,Sengkang,3-room,116000.0,171000.0,,,11
34,2009,Sengkang,4-room,203000.0,271000.0,,,11
35,2009,Sengkang,5-room,281000.0,352000.0,,,11
36,2010,Punggol,3-room,150000.0,237000.0,120000.0,207000.0,12
37,2010,Punggol,4-room,243000.0,376000.0,233000.0,366000.0,12
38,2010,Punggol,5-room,330000.0,458000.0,330000.0,458001.0,12
39,2010,Jurong West,3-room,168000.0,199000.0,138000.0,169000.0,13
40,2010,Jurong West,4-room,239000.0,325000.0,229000.0,315000.0,13
41,2010,Jurong West,5-room,298000.0,391000.0,298000.0,391000.0,13
42,2010,Bukit Panjang,2-room,83000.0,119000.0,23000.0,79000.0,14
43,2010,Bukit Panjang,3-room,143000.0,191000.0,113000.0,161000.0,14
44,2010,Bukit Panjang,4-room,226000.0,312000.0,216000.0,302000.0,14
45,2010,Bukit Panjang,5-room,298000.0,398000.0,298000.0,398000.0,14
46,2010,Woodlands,2-room,78000.0,105000.0,38000.0,65000.0,15
47,2010,Woodlands,3-room,136000.0,168000.0,106000.0,138000.0,15
48,2010,Woodlands,4-room,224000.0,280000.0,214000.0,270000.0,15
49,2010,Woodlands,5-room,270000.0,328000.0,270000.0,328000.0,15
50,2010,Sengkang,2-room,68000.0,120000.0,28000.0,60000.0,16
51,2010,Sengkang,3-room,122000.0,232000.0,92000.0,202000.0,16
52,2010,Sengkang,4-room,201000.0,359000.0,191000.0,349000.0,16
53,2010,Sengkang,5-room,279000.0,444000.0,279000.0,444000.0,16
54,2011,Punggol,2-room,85000.0,111000.0,25000.0,51000.0,17
55,2011,Punggol,3-room,150000.0,242000.0,120000.0,212000.0,17
56,2011,Punggol,4-room,257000.0,390000.0,247000.0,380000.0,17
57,2011,Punggol,5-room,335000.0,484000.0,335000.0,484000.0,17
58,2011,Choa Chu Kang,3-room,146000.0,172000.0,116000.0,142000.0,18
59,2011,Choa Chu Kang,4-room,229000.0,284000.0,219000.0,274000.0,18
60,2011,Choa Chu Kang,5-room,295000.0,364000.0,295000.0,364000.0,18
61,2011,Bukit Panjang,3-room,137000.0,189000.0,107000.0,159000.0,19
62,2011,Bukit Panjang,4-room,217000.0,298000.0,207000.0,288000.0,19
63,2011,Bukit Panjang,5-room,274000.0,386000.0,274000.0,386000.0,19
64,2011,Sembawang,2-room,92000.0,116000.0,32000.0,56000.0,20
65,2011,Sembawang,3-room,158000.0,191000.0,128000.0,161000.0,20
66,2011,Sembawang,4-room,255000.0,310000.0,245000.0,300000.0,20
67,2011,Sengkang,2-room,83000.0,112000.0,23000.0,52000.0,21
68,2011,Sengkang,3-room,134000.0,220000.0,104000.0,190000.0,21
69,2011,Sengkang,4-room,225000.0,370000.0,215000.0,360000.0,21
70,2011,Sengkang,5-room,283000.0,456000.0,283000.0,456000.0,21
71,2011,Yishun,3-room,156000.0,193000.0,126000.0,163000.0,22
72,2011,Yishun,4-room,234000.0,296000.0,224000.0,286000.0,22
73,2011,Yishun,5-room,277000.0,381000.0,277000.0,381000.0,22
74,2012,Punggol,2-room,104000.0,130000.0,44000.0,70000.0,23
75,2012,Punggol,3-room,163000.0,247000.0,133000.0,217000.0,23
76,2012,Punggol,4-room,260000.0,379000.0,250000.0,369000.0,23
77,2012,Punggol,5-room,326000.0,485000.0,326000.0,485000.0,23
78,2012,Choa Chu Kang,2-room,99000.0,121000.0,39000.0,61000.0,24
79,2012,Choa Chu Kang,3-room,138000.0,182000.0,108000.0,152000.0,24
80,2012,Choa Chu Kang,4-room,223000.0,309000.0,213000.0,299000.0,24
81,2012,Choa Chu Kang,5-room,284000.0,385000.0,284000.0,385000.0,24
82,2012,Woodlands,4-room,248000.0,312000.0,238000.0,302000.0,25
83,2012,Woodlands,5-room,308000.0,381000.0,308000.0,381000.0,25
84,2012,Sengkang,3-room,151000.0,264000.0,121000.0,243000.0,26
85,2012,Sengkang,4-room,251000.0,403000.0,241000.0,393000.0,26
86,2012,Sengkang,5-room,304000.0,499000.0,304000.0,499000.0,26
87,2012,Yishun,3-room,170000.0,197000.0,140000.0,167000.0,27
88,2012,Yishun,4-room,264000.0,320000.0,254000.0,310000.0,27
89,2012,Yishun,5-room,331000.0,388000.0,331000.0,388000.0,27
90,2013,Punggol,2-room,81000.0,141000.0,21000.0,81000.0,28
91,2013,Punggol,3-room,176000.0,232000.0,126000.0,182000.0,28
92,2013,Punggol,4-room,279000.0,377000.0,244000.0,342000.0,28
93,2013,Punggol,5-room,365000.0,495000.0,355000.0,485000.0,28
94,2013,Choa Chu Kang,3-room,140000.0,172000.0,90000.0,122000.0,29
95,2013,Choa Chu Kang,4-room,240000.0,288000.0,205000.0,253000.0,29
